,comp2,comp3,comp4
Butyrate,0.03319590391606536,-0.1683013404222806,-0.1274815226993138
Acetate,-0.015950815120531096,-0.09387992937731016,-0.33527998611922993
Propionate,-0.009808379282936614,-0.08927255564710285,-0.21077111502859747
Valerate,-0.006008839296928217,0.09625819164789406,-0.042128173449481235
Isovalerate,-0.007536730149592343,0.14608502305713136,0.09557302670546279
Formate,0.04131823033250877,0.0581071289105515,0.13562298057094602
Glucose,0.03783742230996149,-0.20260743577178109,-0.07349461180981888
Glycerol,-0.0535801085658747,0.16809912016127143,-0.04972754470599978
Threonine,-0.004831281022803208,0.0854796503193829,0.009456406174447402
Methionine,0.0031992038497584926,-0.026729851770874256,0.07678039269822219
Valine,-0.003434436089439751,0.003991956404532103,-0.030290179683760392
Proline,0.00012341675137027587,-0.018748590597351043,-0.009515209636089077
Lactate,-0.02545913404418006,0.13303466604071207,0.10689542445786522
Glutamate,-0.0022965052621107722,-0.02226044327787055,-0.08242018288685836
Ethanol,-0.0457498347781259,-0.0963677904887766,-0.2117209598322565
Aspartate,-0.000658678744286574,0.0403953100748425,0.011984528078087392
Alanine,-0.0014819591012702098,-0.004391067963160125,-0.04409281579362713
Phenylalanine,0.006885830570136348,-0.014855423922520839,0.03503600435621302
Isoleucine,0.008347445882520257,-0.02828950962508751,-0.005814259970739559
Tyrosine,0.0043375159653794805,-0.006265112528872445,0.04360627385955668
Glycine,-0.016595578315756532,0.08513786627356024,0.0835370784226875
Nicotinate,0.02830134119521773,-0.06470076593703698,0.19737673882505904
Uracil,0.015190689369766372,-0.072743689260175,0.10814479395268249
Succinate,-0.02699397107854573,0.029140658290447922,-0.045253474511311294
Pyruvate,0.02573038479106572,0.001119866494851701,0.18108744666692234
Methylamine,0.017426077371237025,0.06168005997478642,0.17994776037313193
